Unnamed: 0,Overall_Rating,Type Of Traveller,Seat Type,Seat Comfort,Cabin Staff Service,Food & Beverages,Ground Service,Inflight Entertainment,Wifi & Connectivity,Value For Money,Recommended
9170,3,Solo Leisure,Economy Class,2.0,3.0,2.0,1.0,1.0,,2.0,no
9171,8,Business,Business Class,5.0,2.0,4.0,4.0,3.0,,4.0,yes
9172,5,Solo Leisure,Economy Class,5.0,1.0,5.0,5.0,5.0,,5.0,no
9173,5,Solo Leisure,Economy Class,3.0,2.0,3.0,4.0,3.0,2.0,3.0,no
9174,1,Business,Economy Class,1.0,1.0,2.0,1.0,,,1.0,no
9175,6,Solo Leisure,Economy Class,4.0,3.0,3.0,4.0,2.0,,3.0,yes
9176,1,Couple Leisure,Economy Class,1.0,1.0,1.0,1.0,1.0,,1.0,no
9177,1,Family Leisure,Economy Class,,1.0,,,,,1.0,no
9178,6,Business,Economy Class,4.0,5.0,4.0,1.0,4.0,,3.0,yes
9179,1,Couple Leisure,Premium Economy,,,,,,,1.0,no
9180,1,Couple Leisure,Economy Class,,,,,,,1.0,no
9181,1,Solo Leisure,Economy Class,,,,,,,1.0,no
9182,2,Solo Leisure,Economy Class,3.0,1.0,1.0,4.0,3.0,,1.0,no
9183,1,Business,Economy Class,4.0,5.0,5.0,5.0,4.0,3.0,5.0,yes
9184,7,Solo Leisure,Economy Class,4.0,5.0,3.0,5.0,3.0,,4.0,yes
9185,9,Solo Leisure,Premium Economy,4.0,5.0,4.0,4.0,3.0,4.0,4.0,yes
9186,1,Business,Economy Class,,,,,,,1.0,no
9187,9,Solo Leisure,Economy Class,4.0,4.0,4.0,3.0,4.0,,4.0,yes
9188,8,Couple Leisure,Premium Economy,4.0,4.0,4.0,5.0,5.0,,4.0,yes
9189,1,Solo Leisure,Economy Class,,,,,,,1.0,no
9190,6,Couple Leisure,Premium Economy,4.0,2.0,3.0,4.0,3.0,3.0,4.0,yes
9191,1,Solo Leisure,Economy Class,,,,,,,2.0,no
9192,3,Solo Leisure,Economy Class,4.0,4.0,4.0,1.0,,,2.0,no
9193,2,Solo Leisure,Premium Economy,3.0,4.0,3.0,1.0,3.0,4.0,2.0,no
9194,9,Solo Leisure,Premium Economy,5.0,5.0,5.0,5.0,4.0,,5.0,yes
9195,1,Family Leisure,Economy Class,5.0,5.0,4.0,5.0,4.0,5.0,5.0,yes
9196,5,Family Leisure,Business Class,3.0,2.0,1.0,4.0,2.0,,3.0,no
9197,1,Solo Leisure,Premium Economy,5.0,5.0,5.0,5.0,5.0,,5.0,yes
9198,9,Family Leisure,Economy Class,3.0,4.0,4.0,3.0,,,5.0,yes
9199,9,Solo Leisure,Economy Class,5.0,5.0,4.0,4.0,4.0,,4.0,yes
9200,1,Solo Leisure,Economy Class,4.0,4.0,4.0,5.0,3.0,,4.0,yes
9201,9,Solo Leisure,Economy Class,4.0,5.0,4.0,4.0,4.0,,4.0,yes
9202,1,Solo Leisure,Business Class,5.0,5.0,5.0,5.0,5.0,,5.0,yes
9203,9,Solo Leisure,Business Class,5.0,5.0,5.0,5.0,3.0,,4.0,yes
9204,1,Solo Leisure,Business Class,5.0,5.0,5.0,5.0,5.0,,4.0,yes
9205,7,Solo Leisure,Economy Class,4.0,5.0,2.0,4.0,4.0,2.0,5.0,yes
9206,8,Solo Leisure,Premium Economy,5.0,5.0,5.0,1.0,3.0,,5.0,yes
9207,1,Business,Business Class,3.0,3.0,3.0,1.0,3.0,3.0,1.0,no
9208,9,Family Leisure,Economy Class,5.0,5.0,5.0,4.0,4.0,,5.0,yes
9209,1,Solo Leisure,Economy Class,1.0,1.0,1.0,5.0,,,2.0,no
9210,8,Family Leisure,Economy Class,5.0,5.0,5.0,4.0,3.0,,5.0,yes
9211,1,Solo Leisure,Premium Economy,5.0,5.0,5.0,4.0,5.0,,5.0,yes
9212,5,Couple Leisure,Premium Economy,3.0,3.0,3.0,3.0,3.0,,4.0,no
