Unnamed: 0,Overall_Rating,Type Of Traveller,Seat Type,Seat Comfort,Cabin Staff Service,Food & Beverages,Ground Service,Inflight Entertainment,Wifi & Connectivity,Value For Money,Recommended,Profile
212,2,Family Leisure,Economy Class,3.0,4.0,4.0,3.0,4.0,4.0,2.0,no,Detractor
213,3,Business,Economy Class,1.0,1.0,1.0,1.0,1.0,1.0,1.0,no,Detractor
214,1,Family Leisure,Economy Class,3.0,3.0,3.0,1.0,3.0,1.0,1.0,no,Detractor
215,1,Business,Business Class,1.0,1.0,1.0,1.0,1.0,1.0,1.0,no,Detractor
216,7,Solo Leisure,Economy Class,5.0,2.0,1.0,2.0,1.0,1.0,3.0,yes,Passive
217,1,Business,Business Class,2.0,1.0,1.0,1.0,1.0,1.0,1.0,no,Detractor
218,3,Solo Leisure,Economy Class,4.0,5.0,1.0,4.0,1.0,1.0,4.0,no,Detractor
219,2,Family Leisure,Economy Class,4.0,3.0,3.0,1.0,3.0,3.0,2.0,no,Detractor
220,1,Business,Economy Class,5.0,5.0,1.0,5.0,1.0,1.0,5.0,yes,Detractor
221,1,Couple Leisure,Economy Class,3.0,4.0,4.0,1.0,1.0,1.0,3.0,no,Detractor
222,8,Business,Premium Economy,3.0,4.0,4.0,4.0,3.0,3.0,4.0,yes,Passive
223,1,Couple Leisure,Business Class,3.0,1.0,1.0,1.0,1.0,1.0,4.0,no,Detractor
224,3,Solo Leisure,Economy Class,3.0,1.0,1.0,3.0,4.0,2.0,2.0,no,Detractor
225,3,Business,Business Class,3.0,2.0,2.0,2.0,3.0,1.0,2.0,no,Detractor
226,3,Family Leisure,Economy Class,2.0,3.0,2.0,1.0,3.0,1.0,2.0,no,Detractor
227,1,Solo Leisure,Economy Class,2.0,1.0,1.0,1.0,1.0,1.0,1.0,no,Detractor
228,1,Solo Leisure,Economy Class,1.0,1.0,1.0,1.0,1.0,1.0,1.0,no,Detractor
229,1,Couple Leisure,Economy Class,2.0,5.0,2.0,5.0,1.0,1.0,5.0,yes,Detractor
230,3,Family Leisure,Economy Class,4.0,4.0,4.0,1.0,4.0,2.0,3.0,no,Detractor
231,1,Solo Leisure,Economy Class,1.0,1.0,1.0,1.0,1.0,1.0,1.0,no,Detractor
232,9,Solo Leisure,Economy Class,5.0,4.0,3.0,5.0,1.0,1.0,5.0,yes,Promoter
233,1,Business,Economy Class,1.0,5.0,1.0,1.0,1.0,1.0,1.0,no,Detractor
234,1,Family Leisure,Economy Class,1.0,1.0,1.0,1.0,1.0,1.0,1.0,no,Detractor
235,2,Family Leisure,Economy Class,1.0,1.0,1.0,1.0,1.0,1.0,1.0,no,Detractor
